experiment_id,revision,run_id,stage,kind,execution_status,returncode,colab_detected,gate,observed,operator,threshold,gate_status,review,decision_id,integrity,source_commit,package_sha256,protocol_sha256,notebook_sha256,run_path,scientific_phase_promoted
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,handoff_complete,true,eq,true,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,first_qualified_state_selected,true,eq,true,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,balanced_accuracy,0.7555267392741171,ge,0.7,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,relation_0_recall,0.8202247191011236,ge,0.5,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,relation_1_recall,0.7228260869565217,ge,0.5,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,relation_2_recall,0.7235294117647059,ge,0.5,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,ce_reduction,true,eq,true,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,offset_separation,true,eq,true,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,phase_not_constant,true,eq,true,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
M2-E002,v001,20260921T210953Z-48abf488-local,M2,research,execution_completed,0,False,two_consecutive_windows,2,ge,2,pass,pass,ADR-0007,verified,7891db73a05ef2d7b7fcbe4f33f94235b3ca2366,8bc4ef850b4fe02844d93aeea48b83fa44a966a4fe9537390bd202f831864ed7,73f054d74595f07555c8e4f94074cbdf205f9650fce60d4359d8e397556f01d9,cf08fca8c8d57959c9764dd6b97ac47d3bfc1b01ab22be490aca5ee29813bdba,research/experiments/M2-E002/v001/runs/20260921T210953Z-48abf488-local,False
